team,team_id,match_id,outcome,won,N,S,N_eff,N_eff_frac,team_sf
Real Madrid,220,3894677,win,1,15,0.9408562201337983,11.60906814732359,0.7739378764882393,0.0681024447031432
Real Madrid,220,3894890,draw,0,15,0.9629446028998964,12.499977545626365,0.833331836375091,0.09009628610729023
Real Madrid,220,3894843,win,1,15,0.9389865281101105,11.507663286344089,0.7671775524229393,0.11188118811881188
Real Madrid,220,3894906,draw,0,16,0.9363126232411519,11.912246334677295,0.744515395917331,0.08902077151335312
Real Madrid,220,3894769,draw,0,15,0.9630850198199618,12.535803832629464,0.8357202555086309,0.14937388193202147
Real Madrid,220,3894655,win,1,16,0.9515267049390654,12.951735839162557,0.8094834899476598,0.10998307952622674
Real Madrid,220,3894667,win,1,16,0.9391089347372279,11.729039033409896,0.7330649395881185,0.09352517985611511
Real Madrid,220,3894681,draw,0,15,0.949070614471015,11.981276278354565,0.7987517518903043,0.08746736292428199
Real Madrid,220,3894821,win,1,16,0.9392885761897867,12.33339434716847,0.7708371466980294,0.11259259259259259
Real Madrid,220,3894717,win,1,15,0.9328874973804816,11.405127397189615,0.7603418264793077,0.09654178674351585
Real Madrid,220,3894542,win,1,16,0.9560773317904141,13.041190299530705,0.815074393720669,0.10209003215434084
Real Madrid,220,3894694,win,1,16,0.9521867174986602,12.837555414825031,0.8023472134265645,0.10385756676557864
Real Madrid,220,3894806,win,1,16,0.9593725846082135,13.21320424558257,0.8258252653489107,0.10846953937592868
Real Madrid,220,3894873,win,1,13,0.96895235156183,11.308189834366631,0.8698607564897409,0.12157534246575342
Real Madrid,220,3894581,lost,0,16,0.9635154100637401,13.198214468901726,0.8248884043063579,0.12652439024390244
Real Madrid,220,3894884,win,1,15,0.9536734580570995,12.05598100327157,0.8037320668847714,0.08555825242718447
Real Madrid,220,3894795,draw,0,16,0.9480640908494132,12.823238185945725,0.8014523866216078,0.10376134889753567
Real Madrid,220,3894597,win,1,16,0.9693391642889274,13.698158926522924,0.8561349329076827,0.14227642276422764
Real Madrid,220,3894723,win,1,15,0.9452008511355421,11.888850418098723,0.7925900278732482,0.11242138364779874
Real Madrid,220,3894753,draw,0,14,0.9527824885366528,11.458798769527988,0.8184856263948562,0.09796806966618288
Real Madrid,220,3894780,win,1,14,0.9328042635757088,10.581419482369878,0.7558156773121342,0.1053019145802651
Real Madrid,220,3894832,win,1,13,0.9599265736653472,10.731203553963981,0.8254771964587678,0.13675213675213677
Real Madrid,220,3894708,win,1,14,0.9534345673195387,11.512295448123751,0.8223068177231251,0.09705372616984402
Real Madrid,220,3894644,draw,0,14,0.9612106107647016,11.783392999707152,0.8416709285505108,0.14464882943143811
Real Madrid,220,3894764,win,1,16,0.9613273659099602,13.365997959787407,0.8353748724867129,0.09045226130653267
Real Madrid,220,3894606,win,1,15,0.9591547143867718,12.293489263305197,0.8195659508870131,0.12
Real Madrid,220,3894538,win,1,15,0.9703799950129839,13.039211681852478,0.8692807787901652,0.12519440124416797
Real Madrid,220,3894852,win,1,16,0.952946459813721,12.74971132139484,0.7968569575871775,0.155902004454343
Real Madrid,220,3894743,win,1,16,0.9318186555172622,11.582462853063527,0.7239039283164704,0.1262135922330097
Real Madrid,220,3894554,win,1,15,0.9541744363506722,12.258887355573814,0.8172591570382542,0.11377245508982035
Getafe,216,3894536,draw,0,14,0.9432154558788807,10.850470111895461,0.7750335794211044,0.25535714285714284
